id,text,classed,timecode,linebreak,space,bigpun
0.5, ,0,0.1,0,0,
0,It's,1,0.12,0,1,
1,Big,1,0.17,0,1,
2,Pun,3,0.499,0,1,
3,the,0,1.07,0,1,
4,one,3,1.2,0,1,
5,and,3,1.37,0,1,
6,on,4,1.49,0,0,
7,ly,5,1.68,0,1,
8,son,3,1.81,0,1,
9,of,0,2,0,1,
10,To,4,2.1,0,0,
11,ny,5,2.38,0,1,
12,Mon,2,2.6,0,0,1
13,ta,2,2.96,0,0,1
14,na,2,3.29,1,1,1
15,You,0,3.58,0,1,
16,ain't,0,3.66,0,1,
17,prom,2,3.84,0,0,1
18,ised,0,4,0,1,
19,ma,2,4.15,0,0,
20,na,2,4.27,0,0,1
21,na,2,4.418,0,1,1
22,in,0,4.63,0,1,
23,the,0,4.8,0,1,
24,rot,2,4.87,0,0,1
25,ten,3,5.07,0,1,
26,man,3,5.2,0,0,
27,za,2,5.46,0,0,1
28,na,2,5.737,1,1,1
29,C',3,6,0,0,1
30,mon,2,6.23,0,1,1
31,pa,2,6.5,0,0,1
32,"na,",2,6.67,0,1,1
33,we,0,6.83,0,1,
34,need,0,7,0,1,
35,more,0,7.1,0,1,
36,rhym,0,7.42,0,0,
37,ers,0,7.6,1,1,
