text,classed,timecode,linebreak,space,
 ,0,0.12,0,0,
Trapped,1,0.178,0,1,
in,0,0.37,0,0,
side,0,0.522,0,1,
your,0,0.801,0,1,
de,0,0.901,0,0,
si,3,1,0,0,
re,5,1.17,0,1,
to,0,1.375,0,1,
fi,3,1.51,0,0,
re,5,1.653,0,1,
bu,0,1.854,0,0,
llets,5,2.058,0,1,
that,5,2.215,0,1,
stray,2,2.367,1,1,
Track,1,2.928,0,1,
a,5,3.098,0,0,
tti,3,3.203,0,0,
re,5,3.398,0,1,
just,5,3.555,0,1,
tell,0,3.729,0,1,
you,4,4,0,1,
I'm,0,4.182,0,1,
ti,3,4.258,0,0,
red,0,4.582,0,1,
and,0,4.632,0,1,
ran,0,4.754,0,1,
a,5,5.026,0,0,
way,2,5.106,1,1,
I,0,5.4,0,1,
should,0,5.47,0,1,
ask,1,5.628,0,1,
a,0,5.846,0,1,
cho,3,5.916,0,0,
ir,5,6.127,0,1,
"""What",5,6.357,0,1,
do,4,6.481,0,1,
you,4,6.7,0,1,
re,6,6.823,0,0,
qui,3,6.951,0,0,
re,5,7.18,1,1,
to,0,7.4,0,1,
sing,0,7.48,0,1,
a,0,7.741,0,1,
song,0,7.821,0,1,
that,5,8.1,0,1,
a,5,8.285,0,0,
cqui,3,8.352,0,0,
re,5,8.498,0,1,
me,6,8.716,0,1,
to,0,8.855,0,1,
have,0,9.038,0,1,
"faith?""",2,9.2,0,0,
