text,classed,timecode,linebreak,space,myshot
I,0,0.245,0,1,
know,0,0.36,0,1,
the,0,0.5,0,1,
ac,0,0.645,0,0,
tion,2,0.832,0,1,1
in,2,1,0,1,1
the,0,1.14,0,1,
street,1,1.33,0,1,
is,0,1.49,0,1,
ex,0,1.689,0,0,
cit,3,1.766,0,0,
in',2,2,1,1,
But,0,2.18,0,1,
Je,1,2.29,0,0,
"sus,",0,2.5,0,1,
be,1,2.68,0,0,
tween,1,2.78,0,1,
all,0,3,0,1,
the,0,3.22,0,1,
blee,1,3.35,0,0,
din',2,3.58,0,1,1
'n,2,3.71,0,1,1
fight,3,3.88,0,0,
in',2,4,1,1,1
I've,0,4.2,0,1,
been,2,4.34,0,1,1
read,1,4.57,0,0,
in',2,4.72,0,1,1
'n,2,4.845,0,1,1
writ,3,5.02,0,0,
in',2,5.15,1,1,1
