text,classed,timecode,linebreak,space,nonstop
I,0,0.123,0,1,
prac,2,0.335,0,0,
ticed,1,0.54,0,1,
the,0,0.82,0,1,
"law,",6,0.943,0,1,
I,0,1.14,0,1,
prac,2,1.22,0,0,
tic,1,1.46,0,0,
ally,5,1.594,0,1,
per,3,1.79,0,0,1
fec,2,1.96,0,0,1
ted,1,2.11,0,1,1
it,1,2.28,0,1,1
I've,0,2.77,0,1,
seen,0,2.85,1,1,1
in,4,3.1,0,0,1
jus,7,3.23,0,0,1
tice,1,3.53,0,1,1
in,4,3.611,0,1,1
the,0,3.74,0,1,
world,3,3.87,0,1,
and,0,4.1,0,1,
I've,0,4.2,0,1,
cor,3,4.42,0,0,1
rec,2,4.56,0,0,1
ted,1,4.7,0,1,1
it,1,4.8,1,1,1
Now,0,5.3,0,1,
for,3,5.6,0,1,
a,0,5.78,0,1,
strong,0,5.87,0,1,
cen,4,6,0,0,1
tral,9,6.2,0,1,1
de,4,6.4,0,0,1
mo,6,6.6,0,0,1
cra,7,6.7,0,0,1
cy,5,6.85,0,1,1
If,0,7,0,1,
"not,",6,7.17,0,1,
then,4,7.34,0,1,
I'll,0,7.49,0,1,
be,5,7.67,0,1,1
So,6,7.76,0,0,1
cra,7,7.98,0,0,1
tes,8,8,1,1,1
Throw,0,8.33,0,0,
ing,0,8.48,0,1,
ver,3,8.689,0,0,
bal,9,8.8,0,1,
rocks,6,8.95,0,1,
at,0,9.1,0,1,
these,8,9.3,0,1,1
me,5,9.4,0,0,1
di,5,9.5,0,0,1
o,6,9.76,0,0,1
cri,7,9.98,0,0,1
ties,8,10.1,1,1,11
