text,classed,timecode,linebreak,space
I'm,0,0.035,0,1
in,1,0.253,0,1
the,0,0.362,0,1
ca,2,0.463,0,0
bi,5,0.571,0,0
net,6,0.687,0,1
I,0,0.911,0,1
am,2,1.06,0,1
com,0,1.2,0,0
pli,3,1.345,0,0
cit,6,1.51,0,1
in,1,1.692,1,1
Wa,4,1.82,0,0
tching,1,1.93,0,1
him,1,2.1,0,1
gra,2,2.26,0,0
bbing,1,2.47,0,1
at,0,2.58,0,1
pow,0,2.69,0,0
er,0,2.77,0,1
and,5,3.03,0,1
ki,3,3.12,0,0
ssing,1,3.24,0,1
it,6,3.38,1,1
If,3,3.45,0,1
Wa,4,3.559,0,0
shing,1,3.75,0,0
ton,5,3.92,0,1
i,3,4.07,0,0
sn't,5,4.2,0,1
gon',5,4.36,0,1
li,3,4.5,0,0
sten,5,4.67,1,1
To,0,4.766,0,1
di,3,4.94,0,0
sci,3,5.07,0,0
plined,5,5.19,0,1
di,3,5.37,0,0
ssi,3,5.47,0,0
dents,5,5.64,0,1
this,3,5.85,0,1
is,3,5.98,0,1
the,0,6.13,0,1
di,3,6.28,0,0
ffer,5,6.4,0,0
ence,5,6.55,1,1
This,3,6.69,0,1
kid,0,6.8,0,1
is,3,7,0,1
out,0,7.139,0,1
