text,classed,timecode,linebreak,space
I,0,0.44,0,1
am,4,0.257,0,1
the,0,0.425,0,1
ver,0,0.557,0,0
y,0,0.681,0,1
mod,0,0.849,0,0
el,1,1.035,0,1
of,0,1.172,0,1
a,0,1.27,0,1
mod,0,1.429,0,0
ern,2,1.593,0,1
Ma,6,1.717,0,0
jor,2,1.858,0,1
Gen,0,2,0,0
er,2,2.181,0,0
al,1,2.3,1,1
I've,0,2.38,0,1
in,3,2.619,0,0
for,2,2.774,0,0
ma,6,2.898,0,0
tion,3,3.022,0,1
vege,0,3.185,0,0
ta,5,3.38,0,0
ble,1,3.482,0,1
an,4,3.774,0,0
i,5,3.937,0,0
mal,1,4.048,0,1
and,4,4.194,0,1
min,3,4.358,0,0
er,2,4.495,0,0
al,1,4.61,1,1
I,0,4.747,0,1
know,7,4.924,0,1
the,0,5.105,0,1
kings,3,5.234,0,1
of,0,5.4,0,1
Eng,3,5.517,0,0
"land,",0,5.667,0,1
and,0,5.76,0,1
I,0,5.906,0,1
quote,0,6.074,0,1
the,0,6.242,0,1
fights,0,6.349,0,1
his,3,6.468,0,0
to,7,6.68,0,0
ri,3,6.791,0,0
cal,1,6.928,1,1
