text,classed,timecode,linebreak,space,rakim
You,0,0.049,0,1,
gone,0,0.173,0,1,
love,0,0.476,0,1,
"this,",6,0.879,0,1,1
it's,5,1.461,0,1,1
mar,4,1.659,0,0,1
ve,3,1.855,0,0,1
"lous,",0,2.07,0,1,1
ba,2,2.39,0,0,1
by,1,2.57,1,1,1
It,5,3,0,1,1
got,4,3.11,0,0,1
ta,3,3.319,0,1,1
thug's,0,3.486,0,1,
twist-,6,3.845,0,0,1
it,5,4.41,0,1,1
start,4,4.5,0,1,1
to,0,4.81,0,1,1
get,5,4.95,0,1,1
cra,2,5.29,0,0,1
zy,1,5.52,1,1,1
It's,5,5.84,0,1,1
off,0,6,0,1,
the,0,6.2,0,1,
meat,7,6.32,0,1,
rack-,8,6.71,0,0,
I,0,7.1,0,1,
can't,0,7.3,0,1,
keep,7,7.56,0,1,
my,0,7.9,0,1,
peeps,7,8.17,0,1,
back,8,8.55,1,1,
I,0,8.86,0,1,
speak,7,9,0,1,
raps,8,9.4,0,1,
and,0,9.9,0,1,
I,0,10,0,1,
freak,7,10.15,0,1,
tracks,8,10.44,0,1,
for,0,10.8,0,1,
these,7,11.1,0,1,
cats,8,11.4,1,1,
