text,classed,timecode,linebreak,space
I,0,0.1,0,1
play,1,0.26,0,1
my,0,0.46,0,1
en,0,0.63,0,0
e,0,0.77,0,0
mies,0,0.91,0,1
like,0,1.29,0,1
a,0,1.5,0,1
game,1,1.64,0,1
of,0,1.8,0,1
"chess,",2,1.94,0,1
where,0,2.3,0,1
I,0,2.54,0,1
"rest,",2,2.69,1,1
No,3,3.05,0,1
stress,2,3.3,0,1
if,0,3.74,0,1
you,0,3.85,0,1
don't,4,4,0,1
smoke,3,4.1,0,1
"sess,",2,4.48,0,1
lest.,2,4.95,1,1
I,0,5.4,0,1
must,2,5.66,0,1
con,5,5.9,0,0
"fess,",2,6.08,0,1
my,0,6.37,0,1
des,2,6.51,0,0
tin,5,6.69,0,0
y's,0,6.85,0,1
man,0,7.02,0,0
i,0,7.22,0,0
fest,2,7.46,1,1
In,5,7.72,0,1
some,5,7.84,0,1
Gore,0,7.99,0,1
tex,6,8.3,0,1
and,5,8.53,0,1
sweats,6,8.7,0,1
I,0,9,0,1
make,0,9.28,0,1
treks,6,9.42,0,1
like,0,9.7,0,1
I'm,0,9.9,0,1
home,4,10.1,0,0
less,2,10.45,0,1
