text,sound,classed,timecode,linebreak,syllables,space
Now,,0,0.1,0,1,1
I'm,,0,0.3,0,1,1
the,,0,0.4,0,1,1
mod,,0,0.6,0,1,0
el,,1,0.8,0,1,1
of,,0,1,0,1,1
a,,0,1.17,0,1,1
mod,,0,1.3,0,1,0
ern,,2,1.5,0,1,1
ma,,6,1.7,0,1,0
jor,,2,1.8,0,1,1
gen,,3,2.1,0,1,0
er,,2,2.3,0,1,0
al,,1,2.5,1,1,1
The,,0,2.7,0,1,1
ven,,3,2.8,0,1,0
er,,2,3,0,1,0
at,,6,3.24,0,1,0
ed,,0,3.4,0,1,1
Vir,,2,3.6,0,1,0
gin,,4,3.7,0,1,0
i,,0,3.97,0,1,0
an,,3,4.15,0,1,1
ve,,0,4.36,0,1,0
ter,,2,4.5,0,1,0
an,,3,4.7,0,1,1
whose,,0,5,0,1,1
men,,3,5.1,0,1,1
are,,2,5.34,0,1,1
all,,1,5.4,1,1,1
Lin,,0,5.7,0,1,0
ing,,4,5.8,0,1,1
up,,5,5.98,0,1,1
to,,0,6.5,0,1,1
put,,0,6.65,0,1,1
me,,0,6.74,0,1,1
up,,5,6.95,0,1,1
on,,3,7.1,0,1,1
a,,0,7.28,0,1,1
ped,,3,7.35,0,1,0
es,,0,7.5,0,1,0
tal,,1,7.76,1,1,1
