text,sound,classed,timecode,linebreak,syllables,space,hamilton2,hamilton3,hamilton4
How,,0,0.72,0,1,1,,,
does,,0,0.95,0,1,1,,,
a,,0,1.2,0,1,1,,,
bas,,0,1.41,0,1,0,,,
"tard,",,0,1.85,0,1,1,,,
or,,1,2.41,0,1,0,,,
"phan,",,3,2.7,0,1,1,,,
son,,3,3.11,0,1,1,,,
of,,0,3.71,0,1,1,,,
a,,0,4,0,1,1,,,
whore,,1,4.13,0,1,1,,,
and,,3,4.85,0,1,1,,,
a,,0,4.96,1,1,1,,,
Scots,,2,5,0,1,0,,,1
"man,",,3,5.6,0,1,1,,,1
dropped,,2,6.09,0,1,1,,,1
in,,3,6.625,0,1,1,,,1
the,,0,6.8,0,1,1,,,
midd,,6,7,0,1,0,,,
le,,0,7.15,0,1,1,,,
of,,0,7.47,0,1,1,,,
a,,0,7.7,1,1,1,,,
For,,5,7.96,0,1,0,,,
gott,,2,8.2,0,1,0,,,1
en,,3,8.65,0,1,1,,,1
spot,,2,8.74,0,1,1,,,1
in,,3,9.15,0,1,1,,,1
the,,0,9.375,0,1,1,,,
Car,,5,9.6,0,1,0,,,
i,,6,9.85,0,1,0,,,
bbe,,0,10.04,0,1,0,,,
an,,3,10.4,0,1,1,,,
by,,0,10.55,0,1,1,,,
pro,,4,10.8,0,1,0,,,
vi,,0,11.005,0,1,0,,,
dence,,3,11.2,1,1,1,,,
Im,,3,11.525,0,1,0,,,
pov,,4,11.718,0,1,0,,1,
er,,5,12,0,1,0,,1,
"ished,",,0,12.2,0,1,1,,,
in,,3,12.4,0,1,1,,,
squa,,4,12.53,0,1,0,1,1,
lor,,5,12.95,1,1,1,1,1,
Grow,,7,13.35,0,1,1,,,
up,,0,13.7,0,1,1,,,
to,,0,13.8,0,1,1,,,
be,,0,14,0,1,1,,,
a,,0,14.3,0,1,1,,,
he,,0,14.49,0,1,0,,,
ro,,7,14.8,0,1,1,,,
and,,0,15,0,1,1,,,
a,,0,15.2,0,1,1,,,
scho,,4,15.3,0,1,0,1,1,
lar?,,5,15.7,1,1,1,1,1,
